<TICKER>,<DTYYYYMMDD>,<CLOSE>
همراه-ت,20200815,65783.74
همراه-ت,20200816,64665.00
همراه-ت,20200817,61472.74
همراه-ت,20200818,62581.83
همراه-ت,20200819,59457.08
همراه-ت,20200822,57200.32
همراه-ت,20200823,54346.09
همراه-ت,20200824,51636.50
همراه-ت,20200825,53285.39
همراه-ت,20200826,55946.77
همراه-ت,20200831,53613.24
همراه-ت,20200901,50932.58
همراه-ت,20200902,49187.26
همراه-ت,20200905,47123.73
همراه-ت,20200906,45580.90
همراه-ت,20200907,44230.92
همراه-ت,20200908,44153.78
همراه-ت,20200909,42090.25
همراه-ت,20200912,42591.67
همراه-ت,20200913,40672.78
همراه-ت,20200914,41097.06
همراه-ت,20200915,43064.16
همراه-ت,20200916,44645.56
همراه-ت,20200919,43006.31
همراه-ت,20200920,41029.56
همراه-ت,20200921,39968.86
همراه-ت,20200922,38483.89
همراه-ت,20200923,38898.53
همراه-ت,20200926,37162.85
همراه-ت,20200927,35620.02
همراه-ت,20200928,34896.82
همراه-ت,20200929,33190.07
همراه-ت,20200930,32302.94
همراه-ت,20201003,33874.70
همراه-ت,20201004,34636.47
همراه-ت,20201005,34250.76
همراه-ت,20201006,35388.60
همراه-ت,20201007,37095.35
همراه-ت,20201010,38676.75
همراه-ت,20201011,40566.71
همراه-ت,20201012,39506.02
همراه-ت,20201013,38454.97
همراه-ت,20201014,36863.93
همراه-ت,20201018,35089.67
همراه-ت,20201019,33537.20
همراه-ت,20201020,31888.31
همراه-ت,20201021,31608.67
همراه-ت,20201024,30605.83
همراه-ت,20201026,30133.34
همراه-ت,20201027,28648.37
همراه-ت,20201028,27423.75
همراه-ت,20201031,27394.82
همراه-ت,20201101,26816.26
همراه-ت,20201102,26883.76
همراه-ت,20201104,28185.52
همراه-ت,20201107,27443.04
همراه-ت,20201108,27327.33
همراه-ت,20201109,26006.28
همراه-ت,20201110,25524.15
همراه-ت,20201111,26430.56
همراه-ت,20201114,26777.69
همراه-ت,20201115,28050.53
همراه-ت,20201116,29265.50
همراه-ت,20201117,30345.48
همراه-ت,20201118,31859.38
همراه-ت,20201121,33257.57
همراه-ت,20201122,32833.29
همراه-ت,20201123,33190.07
همراه-ت,20201124,32466.87
همراه-ت,20201125,32187.23
همراه-ت,20201128,33450.42
همراه-ت,20201129,35118.60
همراه-ت,20201130,35938.23
همراه-ت,20201201,35687.52
همراه-ت,20201202,36372.15
همراه-ت,20201205,36497.50
همراه-ت,20201206,36680.71
همراه-ت,20201207,35388.60
همراه-ت,20201208,34048.27
همراه-ت,20201209,35080.03
همراه-ت,20201212,36507.15
همراه-ت,20201213,36700.00
همراه-ت,20201215,34870.00
همراه-ت,20201216,34350.00
همراه-ت,20201219,34830.00
همراه-ت,20201220,33990.00
