<TICKER>,<DTYYYYMMDD>,<CLOSE>
شپنا-ت,20210116,9340.00
شپنا-ت,20210118,8890.00
شپنا-ت,20210119,9130.00
شپنا-ت,20210120,9570.00
شپنا-ت,20210123,10040.00
شپنا-ت,20210124,10530.00
شپنا-ت,20210125,10890.00
شپنا-ت,20210126,11190.00
شپنا-ت,20210127,11490.00
شپنا-ت,20210130,12050.00
شپنا-ت,20210131,12520.00
شپنا-ت,20210201,12250.00
شپنا-ت,20210202,11690.00
شپنا-ت,20210203,11260.00
شپنا-ت,20210206,10720.00
شپنا-ت,20210207,11170.00
شپنا-ت,20210208,11690.00
شپنا-ت,20210209,12200.00
شپنا-ت,20210213,12930.00
شپنا-ت,20210214,13400.00
شپنا-ت,20210215,13300.00
شپنا-ت,20210216,13070.00
شپنا-ت,20210217,13050.00
شپنا-ت,20210220,12840.00
شپنا-ت,20210221,12750.00
شپنا-ت,20210222,12720.00
شپنا-ت,20210223,12720.00
شپنا-ت,20210224,12160.00
شپنا-ت,20210227,11920.00
شپنا-ت,20210228,11730.00
شپنا-ت,20210301,11550.00
شپنا-ت,20210302,11660.00
شپنا-ت,20210303,11450.00
شپنا-ت,20210306,11240.00
شپنا-ت,20210307,11530.00
شپنا-ت,20210308,12170.00
شپنا-ت,20210309,12830.00
شپنا-ت,20210310,12670.00
شپنا-ت,20210313,13270.00
شپنا-ت,20210314,13190.00
شپنا-ت,20210315,13470.00
شپنا-ت,20210316,14180.00
شپنا-ت,20210317,14670.00
شپنا-ت,20210327,14390.00
شپنا-ت,20210328,14140.00
شپنا-ت,20210330,14050.00
شپنا-ت,20210331,13820.00
شپنا-ت,20210403,13550.00
شپنا-ت,20210404,13280.00
شپنا-ت,20210405,13060.00
شپنا-ت,20210406,12940.00
شپنا-ت,20210407,12690.00
شپنا-ت,20210410,12440.00
شپنا-ت,20210411,12200.00
شپنا-ت,20210412,12000.00
شپنا-ت,20210413,12520.00
شپنا-ت,20210414,12330.00
شپنا-ت,20210417,12090.00
شپنا-ت,20210418,11850.00
شپنا-ت,20210419,11630.00
شپنا-ت,20210420,11460.00
شپنا-ت,20210421,11120.00
شپنا-ت,20210424,11030.00
شپنا-ت,20210425,10990.00
شپنا-ت,20210426,10670.00
شپنا-ت,20210427,11000.00
شپنا-ت,20210428,10850.00
